titulo,fecha,duracion,guion,reparto,genero,sinopsis,url,puntuacion
The Creator,29 de septiembre de 2023,2h 13min,Gareth Edwards (V),"John David Washington, Gemma Chan, Ken Watanabe",Ciencia ficción Drama Aventura,"
Thriller dramático de ciencia ficción que gira en torno al poder e inteligencia de las IA. Un futuro incierto en el que hace 10 años una Inteligencia Artificial detonó una cabeza nuclear. Ahora, cuando la humanidad está herida de muerte, las personas están en guerra contra las máquinas, y luchan por su propia existencia. Mientras las Inteligencias Artificiales sean una amenaza, una tecnología capaz de eliminar a la humanidad de la faz de la Tierra, no dejarán de perseguirlos. Joshua (John David Washington), un ex agente de las fuerzas especiales, es reclutado para localizar al Creador, la fría mente que se oculta detrás de la avanzada Inteligencia Artificial. Él debe localizar el arma con el que las IA luchan después de rebelarse contra los seres humanos. Pero ese arma es una niña, un ser con la apariencia de una niña. Será entonces cuando Joshua deba decidir si ejecutarla o dejar que la raza humana se extinga.
",https://www.sensacine.com/peliculas/pelicula-280993/,3.7
El exorcista: Creyente,6 de octubre de 2023,1h 51min,Peter Sattler,"Leslie Odom Jr., Ellen Burstyn, Ann Dowd",Terror,"
Desde la muerte de su esposa embarazada en un terremoto en Haití hace 12 años, Victor Fielding (Leslie Odom Jr.) ha tenido que criar y cuidar por su cuenta a su hija, Angela. Por momentos, parece que ha conseguido criar a una joven feliz y sana. Pero un día Angela y una amiga desaparecen en el bosque cercano sin aparente explicación, regresando tres días después sin recordar lo que les ha pasado. A partir de este instante se producen una serie de eventos inexplicables y aterradores que harán que Victor tema por la vida de su hija. Este padre deberá enfrentarse a las mayores fuerzas del mal para cumplir su cometido y, en su terror y desesperación, recurre a la única persona sobre la faz de la Tierra que se ha enfrentado a algo así antes: Chris MacNeil (Ellen Burstyn).
",https://www.sensacine.com/peliculas/pelicula-289029/,2.6
Los mercen4arios,29 de septiembre de 2023,1h 43min,Kurt Wimmer,"Jason Statham, Sylvester Stallone, Andy Garcia",Acción Suspense,"
Armados con todas las armas a su alcance y con las habilidades necesarias para utilizarlas, The Expendables son la última línea de defensa del mundo y el equipo al que se llama cuando todas las demás opciones quedan descartadas. El mercenario Barney Ross y su equipo se enfrentan a un nuevo desafío, pero los nuevos miembros del equipo, con nuevos estilos y tácticas, van a dar a ""sangre nueva"" un significado totalmente nuevo. A Ross y compañía se les asigna a una misión para impedir que Suarto, que dirige una organización terrorista, introduzca de contrabando cabezas nucleares que desencadenen un conflicto entre Rusia y Estados Unidos.
",https://www.sensacine.com/peliculas/pelicula-227726/,2.0
Misterio en Venecia,15 de septiembre de 2023,1h 44min,Michael Green,"Kenneth Branagh, Tina Fey, Camille Cottin",Crimen Drama Suspense,"
En la Venecia del siglo XX, en un contexto posterior a la Seguna Guerra Mundial, se produce un aterrador misterio en la víspera del día de Todos los Santos que obliga al retorno del mayor detective del mundo. Disfrutando de la jubiliación y un exilio autoimpuesto en la ciudad más glamourosa del mundo, el investigador Hércules Poirot (Kenneth Branagh) se verá arrastrado a regañadientes a un nuevo caso, el más escalofriante de su carrera. Asiste a una sesión de espiritismo en un palazzo en ruinas y supuestamente embrujado. Cuando uno de los invitados a la sesión sobrenatural es asesinado, el detective se verá envuelto en un sinistro mundo de sombras y secretos.
",https://www.sensacine.com/peliculas/pelicula-302417/,2.9
Saw X,29 de septiembre de 2023,1h 58min,Josh Stolberg,"Tobin Bell, Shawnee Smith, Synnøve Macody Lund",Terror,"
Situada entre los sucesos de Saw y Saw II, vemos como el enfermo y desesperado John se dirige hacia México para someterse a un tratamiento experimental con la esperanza de curarse de su cáncer diagnosticado como mortal. El proceso se vende como algo muy arriesgado y costoso, pero siente que ya nada tiene que perder. Sin embargo, se dará cuenta de su error viendo cómo toda la operación es un fraude para explotar a aquellos en posición más vulnerable. Ahora sí que no tiene nada que perder, y John, lleno de rabia, se lanza hacia un nuevo y tenebroso propósito, retomando su tarea como asesino en serie para darle su merecido a los timadores. Bajo la incisiva mirada de Jigsaw, estos embaucadores se verán atrapados en un visceral y despiadado juego lleno de trampas ingeniosas, tortuosas y mortales.
",https://www.sensacine.com/peliculas/pelicula-291879/,3.3
Campeonex,18 de agosto de 2023,,Javier Fesser,"Jesús Vidal, Jelen Garcia, Gloria Ramos",Comedia dramática,"
El grupo de ""Los Amigos"" regresa de sus aventuras baloncestísticas de hace unos años. Ahora, el destino de los ""campeones"" no pasará por la disciplina del baloncesto ni el parqué de la cancha, sino que terminarán, de la manera más accidental, introducidos en el fasciante mundo del atletismo. Y en esta ocasión no contarán con el entrenador Marcos Montes, sino una entrenadora novata que también va a tener que adaptarse a una nueva disciplina deportiva. Las exigencias del deporte del atletismo, unida a una increíble habilidad de la entrenadora para aglutinar toda serie de calamidades y desventuras en torno a su persona, van a llevar a que nada salga a derechas para este grupo de deportistas.
",https://www.sensacine.com/peliculas/pelicula-310519/,2.8
La monja II,8 de septiembre de 2023,1h 49min,Ian B. Goldberg,"Taissa Farmiga, Jonas Bloquet, Storm Reid",Terror,"
Año 1956. Cuatro años antes la hermana Irene se tuvo que enfrentar a una inexplicable fuerza demoníaca que aterraba un convento de Rumanía. Un demonio de nombre Valak poseyó los cuerpos de los religiosos miembros allí presentes, y también de los investigadores que le dieron caza. Ahora es Francia donde el mal campa a sus anchas, con un sacerdote asesinado, y todas las señales apuntan a Valak. La hermana Irene tendrá que enfrentarse a esta malévola pero familiar fuerza que debe ser contenida a toda costa.
",https://www.sensacine.com/peliculas/pelicula-273411/,2.7
Golpe de suerte,29 de septiembre de 2023,1h 33min,Woody Allen,"Lou de Laâge, Melvil Poupaud, Niels Schneider",Suspense Romántico Drama Comedia,"
Fanny (Lou de Laâge) y Jean (Melvil Poupaud) tienen todos los ingredientes de una pareja ideal: atesoran éxito profesional, viven en un bonito piso en uno de los mejores barrios de París y parecen estar enamorados como el primer día que se conocieron. Pero, cuando Fanny se encuentra por casualidad con su antiguo compañero de colegio Alain (Niels Schneider), queda prendada de sus encantos de inmediato. Pronto vuelven a verse y se relación se va volviendo más íntima.
",https://www.sensacine.com/peliculas/pelicula-306013/,3.4
Golpe a Wall Street,6 de octubre de 2023,1h 44min,,"Seth Rogen, Sebastian Stan, Paul Dano",Drama Comedia,"
Basada en la loca historia real donde un grupo de gente corriente protagonizó su propio ""David contra Goliat"" frente a la gente de Wall Street. En un sorprendente giro de guion, la tienda de videojuegos GameStop, con casi ningún valor en bolsa, se convierte en una de las empresas más revalorizadas del mundo. Detrás de todo este fenómeno está Keith Gill (Paul Dano), que decide invertir todos los ahorros de su vida en acciones de la compañía y empieza a hablar sobre ello en Internet. Cuando las redes sociales se hacen eco de sus acciones, su vida y la de la gente a su alrededor cambia para siempre. Invertir en GameStop se convierte en un movimiento con muchas personas involucradas, y los multimillonarios se ven obligados a contraatacar al desvelarse las fracturas de su sistema. Ambos bandos verán sus vidas volviéndose del revés.
",https://www.sensacine.com/peliculas/pelicula-290002/,3.3
The Equalizer 3,1 de septiembre de 2023,1h 50min,Richard Wenk,"Denzel Washington, Dakota Fanning, David Denman",Acción Suspense,"
Tercera entrega de The Equalizer y capítulo final de la saga. Esta vez, encontramos al implacable Robert McCall (Denzel Washington) disfrutando de una vida tranquila en el sur de Italia. Allí, habiendo dejado a un lado sus arriesgados trabajos para el gobierno, disfruta de su jubilación y está echando raíces, conociendo también nuevas personas que le rodean y con los que está construyendo un vínculo. Todo cambiará al descubrir que la vida de esas personas está bajo el control de la mafia italiana. Esta nueva clase de violencia que le amenazará, no asusta en absoluto a McCall, que decidirá convertirse en protector y vengarse por los crímenes cometidos.
",https://www.sensacine.com/peliculas/pelicula-300107/,3.0
