titulo,urls
The Creator,https://www.sensacine.com/peliculas/pelicula-280993/
El exorcista: Creyente,https://www.sensacine.com/peliculas/pelicula-289029/
Los mercen4arios,
Misterio en Venecia,https://www.sensacine.com/peliculas/pelicula-302417/
Saw X,https://www.sensacine.com/peliculas/pelicula-291879/
Campeonex,https://www.sensacine.com/peliculas/pelicula-310519/
La monja II,https://www.sensacine.com/peliculas/pelicula-273411/
Golpe de suerte,https://www.sensacine.com/peliculas/pelicula-306013/
Golpe a Wall Street,https://www.sensacine.com/peliculas/pelicula-290002/
The Equalizer 3,https://www.sensacine.com/peliculas/pelicula-300107/
La ternura,https://www.sensacine.com/peliculas/pelicula-310657/
Ninja Turtles: Caos mutante,https://www.sensacine.com/peliculas/pelicula-284995/
