camping,direcciones,webs,telefonos,geolocalización,latitud,longitud
campingpinarsanjose,"Lugar, Pago Zahora, 17, 11159 Zahora, Cádiz",campingpinarsanjose.com,951 12 90 02,,,
playaaguadulce,"Calle Carretera A-491 Km. 6,5 (Junto a Costa Ballena, 11520 Rota, Cádiz",playaaguadulce.com,956 84 70 78,,,
campinglarosaleda,"Carretera del Pradillo, Km 1.3, 11140 Conil de la Frontera, Cádiz",campinglarosaleda.com,956 44 33 27,"[36.3183028, -6.1057]",36.3183028,-6.1057
campingpuebloblan,"Carretera Nacional 384, km 69, 11690 Olvera, Cádiz",campingpuebloblanco.com,956 13 00 33,,,
camping,"Carretera Vejer - Caños de Meca, km. 10, 11159 Barbate, Cádiz",campingcm.com,956 43 71 20,,,
lagoresort,"Carretera Nuevalos a Alhama, 50210 Nuévalos, Zaragoza",lagoresort.com,975 88 70 05,,,
campinglaestanca,"Camino de Valmuel, 44600 Alcañiz, Teruel",campinglaestanca.com,682 32 10 49,,,
campinglakecaspe,"Carretera Nacional 211, km 286.700, 50700 Caspe, Zaragoza",campinglakecaspe.com,976 63 44 57,,,
laspaules,"Carretera Nacional 260, km 369, 22471 Laspaúles, Huesca",laspaules.com,675 50 10 76,,,
juntadeandalucia.es,"29420 El Burgo, Málaga",juntadeandalucia.es,670 94 88 94,"[36.789244, -4.9476509]",36.789244,-4.9476509
camping-ribadesella,"Sebreño, s/n norte, 33567, Asturias",camping-ribadesella.com,985 85 82 93,,,
campingsella,"Carretera Santianes, 33547 Arriondas, Asturias",campingsella.com,985 84 09 68,"[43.3850505, -5.1823069]",43.3850505,-5.1823069
campinglapaz,"Playa de Vidiago 33597, Asturias",campinglapaz.com,985 41 12 35,"[43.4011534, -4.656353]",43.4011534,-4.656353
playadelafranca,"Playa de la Franca, 33590 La Franca, Asturias",playadelafranca.com,985 41 22 22,"[43.39217825, -4.5754722245348685]",43.39217825,-4.5754722245348685
campingvillaviciosa.es,"Calle Busta, 33316 Villaviciosa, Asturias",campingvillaviciosa.es,629 55 31 52,,,
campinglaviorna,"Carretera de, 39586 Santo Toribio, Cantabria",campinglaviorna.com,942 73 20 21,,,
campingelrosal,"Carretera de la playa, 39540 San Vicente de la Barquera, Cantabria",campingelrosal.com,942 71 01 65,,,
campingsanpelay,"Lugar Baró, Carretera Potes Fuente Dé, Km. 5, 39587 Camaleño, Cantabria",campingsanpelayo.com,942 73 30 87,,,
campinglaislapicosdeeuropa,"Reserva de la Biosfera-Picos de Europa, Carretera Potes-Fuente Dé BAJO, 39586 Potes, Cantabria",campinglaislapicosdeeuropa.com,942 73 08 96,,,
campingencantabria,"Barrio La Vega, Potes a 8km Carretera Soberado-Dobres, 39577 La Vega de Liébana, Cantabria",campingencantabria.com,942 73 60 09,,,
campinglosbonales.es,"Lugar Paraje los Bonales, 0 19275 Cantalojas, Guadalajara",campinglosbonales.es,643 45 01 52,,,
quintanardelasierra.es,"Carretera del Campamento, 09670 Quintanar de la Sierra, Burgos",quintanardelasierra.es,947 39 55 92,,,
camping.complejothedreams,"Avenida Cazalegas 1261 Km 4, 45683 Cazalegas, Toledo",camping.complejothedreams.com,925 87 26 25,,,
puertadelademanda,"Carretera Pradoluengo, Km 2, Carretera Pradoluengo, 2, 09199 Villasur de Herreros, Burgos",puertadelademanda.com,947 56 23 59,,,
campingladehesa.es,"KM, CM-210, 31, 16890 Cañamares, Cuenca",campingladehesa.es,639 55 21 43,,,
campingrioluna,"Carretera de Abelgas, Km 0,8, 24145 Sena de Luna, León",campingrioluna.com,987 59 77 14,,,
campingreinodeleon.es,"C. Fragua, 6, 24711 Villamejil, León",campingreinodeleon.es,659 44 76 70,"[42.560068, -6.0265418]",42.560068,-6.0265418
campingelastral.es,"Camino Pollos, 8, 47100 Tordesillas, Valladolid",campingelastral.es,983 77 09 53,,,
camping-riaza,"Carretera de la Estación, 40500 Riaza, Segovia",camping-riaza.com,921 55 05 80,"[41.2708722, -3.4962074]",41.2708722,-3.4962074
