"id_cliente";"sexo";"estado_civil";"tipo_baja";"familia_captacion"
1;"H";"C";"nunca";"No_vida"
2;"M";"C";"parcial";"No_vida"
3;"H";"C";"total";"Ahorro"
4;"M";"C";"total";"No_vida"
5;"M";"S";"nunca";"No_vida"
6;"H";"S";"total";"Autos"
7;"M";"";"total";"Autos"
8;"M";"C";"total";"No_vida"
9;"M";"C";"total";"No_vida"
10;"M";"S";"total";"No_vida"
11;"H";"";"parcial";"Autos"
12;"H";"";"parcial";"Autos"
13;"H";"C";"nunca";"Ahorro"
14;"M";"";"parcial";"Ahorro"
15;"H";"C";"nunca";"Vida_Riesgo"
16;"M";"S";"parcial";"Ahorro"
17;"H";"";"parcial";"Ahorro"
18;"H";"C";"total";"Ahorro"
19;"H";"C";"nunca";"Vida_Riesgo_PM"
20;"M";"S";"nunca";"No_vida"
21;"M";"C";"parcial";"Vida_Riesgo"
22;"H";"C";"parcial";"Ahorro"
23;"H";"S";"nunca";"No_vida"
24;"M";"C";"total";"No_vida"
25;"M";"S";"nunca";"No_vida"
26;"M";"C";"nunca";"No_vida"
27;"M";"S";"total";"No_vida"
28;"H";"C";"total";"Ahorro"
29;"M";"S";"parcial";"Ahorro"
30;"H";"";"total";"Ahorro"
31;"M";"S";"total";"No_vida"
32;"H";"C";"parcial";"Ahorro"
33;"M";"";"total";"Autos"
34;"M";"S";"nunca";"No_vida"
35;"H";"C";"total";"Autos"
36;"M";"C";"total";"Ahorro"
37;"H";"C";"total";"Autos"
38;"H";"S";"total";"No_vida"
39;"H";"";"total";"Ahorro"
40;"M";"S";"total";"No_vida"
41;"H";"C";"parcial";"Ahorro"
42;"H";"";"parcial";"Ahorro"
43;"M";"";"nunca";"Rentas"
44;"H";"";"parcial";"Vida_Riesgo"
45;"M";"";"total";"Ahorro"
46;"M";"S";"total";"No_vida"
47;"M";"C";"parcial";"Ahorro"
48;"M";"S";"total";"No_vida"
49;"H";"";"total";"Ahorro"
50;"M";"";"total";"Autos"
51;"M";"S";"parcial";"Ahorro"
52;"H";"C";"parcial";"Ahorro"
53;"H";"C";"total";"Autos"
54;"M";"";"total";"Ahorro"
55;"M";"S";"total";"No_vida"
56;"M";"C";"total";"Vida_Riesgo_PM"
57;"H";"C";"nunca";"No_vida"
58;"H";"S";"total";"Jubilacion"
59;"M";"S";"parcial";"No_vida"
60;"H";"C";"parcial";"Autos"
61;"M";"D";"total";"Autos"
62;"M";"V";"parcial";"Vida_Riesgo"
63;"H";"S";"parcial";"No_vida"
64;"H";"C";"fallecido";"Ahorro"
65;"M";"";"fallecido";"Ahorro"
66;"M";"C";"parcial";"Ahorro"
67;"H";"D";"parcial";"Ahorro"
68;"H";"C";"parcial";"Ahorro"
69;"H";"C";"total";"No_vida"
70;"H";"S";"nunca";"No_vida"
71;"M";"S";"nunca";"No_vida"
72;"H";"C";"total";"Ahorro"
73;"M";"C";"total";"No_vida"
74;"H";"C";"parcial";"No_vida"
75;"H";"";"nunca";"Jubilacion_GOLF"
76;"H";"C";"nunca";"Ahorro"
77;"M";"C";"parcial";"Ahorro"
78;"M";"C";"parcial";"Ahorro"
79;"M";"C";"parcial";"Ahorro"
80;"H";"";"total";"Autos"
81;"M";"C";"total";"Vida_Riesgo"
82;"M";"";"parcial";"Autos"
83;"H";"C";"nunca";"Vida_Riesgo"
84;"H";"C";"parcial";"Autos"
85;"M";"S";"total";"Vida_Riesgo"
86;"M";"";"total";"Ahorro"
87;"H";"C";"total";"No_vida"
88;"M";"C";"parcial";"Ahorro"
89;"H";"C";"parcial";"Ahorro"
90;"M";"C";"parcial";"No_vida"
91;"H";"";"total";"No_vida"
92;"M";"C";"nunca";"Ahorro"
93;"M";"C";"parcial";"No_vida"
94;"M";"C";"total";"No_vida"
95;"M";"";"nunca";"No_vida"
96;"M";"S";"parcial";"Ahorro"
97;"M";"S";"total";"No_vida"
98;"M";"C";"total";"No_vida"
99;"H";"C";"parcial";"Ahorro"
100;"H";"S";"parcial";"Vida_Riesgo"
101;"M";"";"parcial";"Ahorro"
102;"M";"D";"parcial";"Ahorro"
103;"M";"S";"parcial";"Ahorro"
104;"M";"C";"total";"No_vida"
105;"H";"";"nunca";"Ahorro"
106;"H";"S";"total";"No_vida"
107;"H";"C";"parcial";"No_vida"
108;"H";"S";"total";"Vida_Riesgo"
109;"M";"S";"total";"No_vida"
110;"M";"C";"parcial";"Ahorro"
111;"H";"S";"nunca";"No_vida"
112;"M";"D";"total";"Vida_Riesgo"
113;"M";"";"parcial";"Ahorro"
114;"H";"C";"parcial";"Ahorro"
115;"M";"";"nunca";"No_vida"
116;"H";"C";"parcial";"Vida_Riesgo"
117;"H";"C";"parcial";"Vida_Riesgo"
118;"H";"C";"nunca";"No_vida"
119;"H";"C";"total";"Ahorro"
120;"H";"C";"parcial";"Ahorro"
121;"H";"C";"parcial";"Ahorro"
122;"M";"C";"nunca";"Ahorro"
123;"M";"S";"total";"No_vida"
124;"H";"S";"total";"Ahorro"
125;"H";"";"nunca";"Ahorro"
126;"H";"C";"total";"Autos"
127;"M";"D";"parcial";"Ahorro"
128;"M";"C";"nunca";"Ahorro"
129;"M";"S";"total";"No_vida"
130;"M";"S";"nunca";"No_vida"
131;"M";"C";"nunca";"No_vida"
132;"M";"C";"nunca";"Jubilacion"
133;"H";"C";"total";"No_vida"
134;"M";"S";"parcial";"No_vida"
135;"H";"";"parcial";"Ahorro"
136;"H";"C";"nunca";"No_vida"
137;"M";"";"parcial";"Ahorro"
138;"M";"S";"nunca";"No_vida"
139;"M";"S";"parcial";"Ahorro"
140;"H";"C";"total";"Autos"
141;"M";"C";"nunca";"Ahorro"
142;"H";"";"fallecido";"Ahorro"
143;"H";"D";"total";"Vida_Riesgo"
144;"H";"C";"total";"No_vida"
145;"H";"C";"parcial";"Ahorro"
146;"M";"C";"parcial";"Rentas"
147;"H";"S";"total";"No_vida"
148;"H";"D";"parcial";"Ahorro"
149;"H";"";"nunca";"Ahorro"
150;"H";"C";"nunca";"No_vida"
151;"H";"";"nunca";"No_vida"
152;"H";"C";"total";"Ahorro"
153;"M";"";"nunca";"Ahorro"
154;"H";"C";"nunca";"Riesgo_Tomador"
155;"H";"D";"total";"No_vida"
156;"H";"";"parcial";"Ahorro"
157;"H";"C";"nunca";"Ahorro"
158;"H";"";"nunca";"Ahorro"
159;"M";"S";"nunca";"No_vida"
160;"M";"S";"nunca";"No_vida"
161;"H";"S";"nunca";"No_vida"
162;"H";"S";"total";"No_vida"
163;"M";"S";"nunca";"Vida_Riesgo"
164;"M";"V";"nunca";"Ahorro"
165;"M";"C";"nunca";"Ahorro"
166;"M";"";"total";"No_vida"
167;"H";"";"total";"Ahorro"
168;"H";"D";"nunca";"Ahorro"
169;"M";"C";"total";"Ahorro"
170;"H";"D";"parcial";"Ahorro"
171;"M";"S";"nunca";"Ahorro"
172;"H";"";"nunca";"Ahorro"
173;"M";"C";"parcial";"Ahorro"
174;"H";"D";"parcial";"Ahorro"
175;"M";"S";"total";"No_vida"
176;"H";"S";"nunca";"Autos"
177;"M";"C";"total";"Ahorro"
178;"M";"C";"parcial";"Ahorro"
179;"H";"S";"nunca";"No_vida"
180;"H";"C";"parcial";"Autos"
181;"H";"";"total";"No_vida"
182;"H";"C";"total";"Ahorro"
183;"H";"";"total";"Ahorro"
184;"M";"C";"nunca";"Ahorro"
185;"H";"S";"nunca";"No_vida"
186;"H";"";"fallecido";"Ahorro"
187;"H";"C";"total";"Ahorro"
188;"M";"C";"parcial";"Ahorro"
189;"M";"C";"nunca";"No_vida"
190;"M";"C";"total";"Ahorro"
191;"H";"S";"nunca";"No_vida"
192;"H";"";"total";"Autos"
193;"H";"C";"total";"Ahorro"
194;"M";"";"parcial";"Ahorro"
195;"H";"C";"nunca";"Ahorro"
196;"M";"C";"nunca";"Ahorro"
197;"M";"D";"parcial";"No_vida"
198;"H";"V";"total";"Ahorro"
199;"H";"C";"total";"Autos"
200;"H";"";"parcial";"Ahorro"
201;"M";"C";"parcial";"Ahorro"
202;"M";"";"parcial";"Ahorro"
203;"H";"C";"parcial";"Ahorro"
204;"H";"C";"parcial";"No_vida"
205;"H";"C";"parcial";"Ahorro"
