"id_cliente";"n_polizas_tomador_ahorro";"n_polizas_tomador_autos";"n_polizas_tomador_jubilacion";"n_polizas_tomador_jubilacion_golf";"n_polizas_tomador_no_vida";"n_polizas_tomador_rc";"n_polizas_tomador_rentas";"n_polizas_tomador_riesgo_tomador";"n_polizas_tomador_vida_riesgo";"n_polizas_tomador_vida_riesgo_pm";"n_polizas_tomador_no_vida"
1;0;0;0;0;1;0;0;0;0;0;1
2;0;0;0;0;1;0;0;0;0;0;1
3;5;0;0;0;0;0;2;1;0;0;0
4;0;0;0;0;1;0;0;0;0;0;1
5;0;0;0;0;1;0;0;0;0;0;1
6;0;2;0;0;0;0;0;0;0;0;0
7;0;1;0;0;0;0;0;0;0;0;0
8;0;0;0;0;1;0;0;0;0;0;1
9;0;0;0;0;1;0;0;0;0;0;1
10;0;0;0;0;2;0;0;0;0;0;2
11;0;3;0;0;0;0;0;0;0;0;0
12;0;2;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0
14;4;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;0
16;2;0;0;0;3;0;0;0;0;0;3
17;2;0;0;0;1;0;0;0;0;0;1
18;5;0;0;0;1;0;0;0;0;0;1
19;0;0;0;0;0;0;0;0;0;1;0
20;0;0;0;0;1;0;0;0;0;0;1
21;0;0;0;0;0;0;0;0;0;1;0
22;2;0;0;0;1;0;0;1;0;0;1
23;0;0;0;0;1;0;0;0;0;0;1
24;0;0;0;0;1;0;0;0;0;0;1
25;0;0;0;0;1;0;0;0;0;0;1
26;0;0;0;0;1;0;0;0;0;0;1
27;0;0;0;0;1;0;0;0;0;0;1
28;2;0;0;0;0;0;0;0;0;0;0
29;3;0;1;0;1;0;0;3;0;0;1
30;3;0;0;0;0;0;0;0;0;0;0
31;0;0;0;0;1;0;0;0;0;0;1
32;3;0;0;0;0;0;0;0;0;0;0
33;0;1;0;0;0;0;0;0;0;0;0
34;0;0;0;0;1;0;0;0;0;0;1
35;0;1;0;0;0;0;0;0;0;0;0
36;2;0;0;0;0;0;0;0;0;0;0
37;0;1;0;0;0;0;0;0;0;0;0
38;0;0;0;0;3;0;0;0;0;0;3
39;3;0;0;0;1;0;0;0;0;0;1
40;0;0;0;0;1;0;0;0;0;0;1
41;4;0;0;0;0;0;0;0;0;0;0
42;2;0;0;0;1;0;0;0;0;0;1
43;0;0;0;0;0;0;1;0;0;0;0
44;2;0;0;0;0;0;0;0;0;1;0
45;1;0;0;0;0;0;0;0;0;0;0
46;0;0;0;0;1;0;0;0;0;0;1
47;3;0;0;1;0;0;0;0;0;0;0
48;0;0;0;0;1;0;0;0;0;0;1
49;2;0;0;0;0;0;0;0;0;0;0
50;0;1;0;0;0;0;0;0;0;0;0
51;4;0;0;0;0;0;1;0;0;0;0
52;2;0;0;1;0;0;0;0;0;0;0
53;0;6;0;0;0;0;0;0;0;0;0
54;1;0;0;0;0;0;0;0;0;0;0
55;0;0;0;0;1;0;0;0;0;0;1
56;0;0;0;0;0;0;1;0;0;1;0
57;0;0;0;0;1;0;0;0;0;0;1
58;0;0;1;0;0;0;0;0;0;0;0
59;0;0;0;0;2;0;0;0;0;0;2
60;0;2;0;0;0;0;0;0;0;0;0
61;0;1;0;0;0;0;0;0;0;0;0
62;1;0;0;0;0;0;0;0;0;0;0
63;0;0;0;0;2;0;0;0;0;0;2
64;4;0;0;0;0;0;0;0;0;0;0
65;1;0;0;0;0;0;0;0;0;0;0
66;5;0;0;1;1;0;0;0;0;1;1
67;2;0;0;0;1;0;0;0;0;0;1
68;3;0;0;0;0;0;0;0;0;0;0
69;0;0;0;0;1;0;0;0;0;0;1
70;0;0;0;0;1;0;0;0;0;0;1
71;0;0;0;0;1;0;0;0;0;0;1
72;1;0;0;0;2;0;0;0;0;0;2
73;0;0;0;0;1;0;0;0;0;0;1
74;6;0;1;0;3;0;0;0;0;0;3
75;0;0;0;1;0;0;0;0;0;0;0
76;1;0;0;0;0;0;0;0;0;0;0
77;2;0;1;0;0;0;0;0;0;0;0
78;6;0;0;0;0;0;3;0;0;0;0
79;1;0;0;0;1;0;0;0;0;0;1
80;0;3;0;0;0;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0;0;0;0
82;0;3;0;0;0;0;0;0;0;0;0
83;0;0;0;0;0;0;0;0;0;0;0
